attendance,study_hours,IAT_marks,assignment,extracurricular_activity,consistency_rating,predicted_grade,confidence_level,predictor
68.73,2.62,70.04,71.86,Club Activity,6,B+,78.34,pass
97.54,2.47,86.38,33.79,Art & Design,3,B,50.0,pass
86.6,9.06,83.21,89.79,Entrepreneurship Cell,10,A,100.0,pass
79.93,2.5,40.77,69.05,NSS,8,B,98.73,pass
57.8,2.72,40.45,32.58,Art & Design,7,C,88.64,fail
57.8,7.59,48.77,96.99,Drama/Theatre,1,B+,50.0,pass
52.9,4.5,55.28,61.47,Music/Band,10,B,100.0,pass
93.31,7.77,58.59,25.83,Student Council,5,B+,67.75,pass
80.06,0.65,77.58,70.15,Drama/Theatre,10,B+,100.0,pass
85.4,4.88,33.97,40.26,Volunteering,9,B,100.0,pass
51.03,0.34,32.43,84.3,Volunteering,6,C,79.04,fail
98.5,0.63,57.43,85.43,Club Activity,8,B+,91.98,pass
91.62,9.06,78.8,98.32,Drama/Theatre,10,A+,100.0,pass
60.62,1.39,43.54,60.15,Entrepreneurship Cell,1,C,50.0,fail
59.09,5.32,74.91,56.4,Club Activity,10,B+,100.0,pass
59.17,4.11,48.19,80.28,Music/Band,7,B,86.62,pass
65.21,3.47,92.03,30.6,Volunteering,3,B,50.0,pass
76.24,9.0,92.7,63.75,NSS,9,A,100.0,pass
71.6,0.22,50.81,63.7,Volunteering,6,C,73.39,fail
64.56,6.64,46.1,27.16,Cultural Activity,5,C,66.8,fail
80.59,9.63,58.79,53.44,Photography Club,8,A-,90.58,pass
56.97,5.6,46.84,88.26,Technical Club,8,B+,99.29,pass
64.61,9.37,77.07,88.49,Student Council,3,A-,50.0,pass
68.32,0.52,87.82,27.94,Drama/Theatre,2,C,50.0,fail
72.8,4.19,77.12,27.26,Club Activity,2,B,50.0,pass
89.26,2.6,87.7,41.02,Technical Club,5,B+,67.72,pass
59.98,7.31,57.79,89.98,Technical Club,10,A-,100.0,pass
75.71,9.81,40.94,30.31,Art & Design,7,B,80.81,pass
79.62,2.57,81.66,77.6,Photography Club,8,B+,98.75,pass
52.32,6.54,55.23,28.09,Sports,10,B,100.0,pass
80.38,1.98,76.99,69.85,Art & Design,8,B+,94.04,pass
58.53,5.65,48.95,48.49,Art & Design,8,B,97.02,pass
53.25,4.64,35.69,83.11,Student Council,10,B,100.0,pass
97.44,9.72,99.48,38.7,Cultural Activity,3,A-,50.0,pass
98.28,6.09,40.93,71.14,Volunteering,2,B+,50.0,pass
90.42,3.5,99.19,38.85,Art & Design,4,B+,55.24,pass
65.23,1.14,98.41,77.09,Music/Band,1,B+,50.0,pass
54.88,1.51,85.57,89.89,Volunteering,3,B+,50.0,pass
84.21,2.25,76.16,30.14,Cultural Activity,9,B,100.0,pass
